id,text,original_dialect,original_sarcasm,gender,annotator_mother_dialect,annotator_known_dialects,dialect,sarcasm
1,نتغير من الأفعال مانتغير من مزاجنا,gulf,0,male,nile,nile,nile,0
1,نتغير من الأفعال مانتغير من مزاجنا,gulf,0,female,levant,"levant
gulf
nile
msa",levant,0
1,نتغير من الأفعال مانتغير من مزاجنا,gulf,0,male,gulf,"levant
gulf
nile
magreb
msa",gulf,0
1,نتغير من الأفعال مانتغير من مزاجنا,gulf,0,male,magreb,"magreb
msa",msa,0
1,نتغير من الأفعال مانتغير من مزاجنا,gulf,0,male,nile,"gulf
nile
msa",nile,0
2,هل هُناك صباح الخير بطريقة مختلفة؟,nile,0,male,magreb,"nile
magreb
msa",msa,1
2,هل هُناك صباح الخير بطريقة مختلفة؟,nile,0,female,levant,"levant
gulf
nile
msa",msa,0
2,هل هُناك صباح الخير بطريقة مختلفة؟,nile,0,female,levant,"levant
nile
msa",msa,0
2,هل هُناك صباح الخير بطريقة مختلفة؟,nile,0,male,nile,nile,msa,0
2,هل هُناك صباح الخير بطريقة مختلفة؟,nile,0,male,nile,nile,nile,0
3,الهدرة عليا و المعاني على جارتي,magreb,1,female,levant,"levant
nile
msa",gulf,1
3,الهدرة عليا و المعاني على جارتي,magreb,1,female,levant,"levant
nile
msa",nile,1
3,الهدرة عليا و المعاني على جارتي,magreb,1,female,levant,"levant
gulf
nile
msa",magreb,0
3,الهدرة عليا و المعاني على جارتي,magreb,1,male,nile,nile,gulf,1
3,الهدرة عليا و المعاني على جارتي,magreb,1,male,nile,"gulf
nile
msa",gulf,1
4,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,female,nile,"nile
msa",msa,0
4,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,female,levant,"levant
nile
msa",msa,0
4,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,female,levant,"levant
gulf
nile
msa",msa,0
4,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,female,levant,"levant
nile
msa",msa,0
4,اللهم إني أسألك حبَّكَ وحبَّ من يحبُّكَ وحبَّ عملٍ يقرِّبُني إلى حُبِّكَ,msa,0,male,nile,nile,nile,0
5,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,male,nile,nile,nile,0
5,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,male,nile,nile,nile,1
5,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,male,gulf,"levant
gulf
nile
magreb
msa",nile,0
5,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,female,levant,"levant
nile
msa",nile,0
5,انسى الحياة والدنيا دى وتعالى نهرب منهم,nile,0,female,levant,"levant
gulf
nile
msa",nile,0
6,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,male,magreb,"magreb
msa",msa,0
6,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,female,levant,"levant
gulf
nile
msa",msa,0
6,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,male,nile,nile,nile,0
6,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,male,nile,nile,msa,0
6,"""أسعد الله قلبًا ضم اسمي بدعائه غيبًا وأنا لا أعلم.""",msa,0,male,gulf,"levant
gulf
nile
magreb
msa",msa,0
7,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,male,nile,nile,nile,0
7,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,female,levant,"levant
gulf
nile
msa",nile,1
7,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,female,levant,"levant
nile
msa",nile,1
7,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,male,magreb,"levant
gulf
nile
magreb
msa",nile,1
7,أحلى حاجة إن كله بقى خبير في الصواني وأي رأي مخالف للشيف بقى عدو للبشاميل ويستحق يتحرق تحت الشواية وكل ده عشان خاطر عيون الشيف!,nile,1,female,nile,"nile
msa",nile,1
8,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,nile,0,female,levant,"levant
nile
msa",msa,0
8,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,nile,0,female,levant,"levant
nile
msa",msa,0
8,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,nile,0,male,nile,"gulf
nile
msa",msa,0
8,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,nile,0,female,levant,"levant
gulf
nile
msa",levant,0
8,الفاهم لا يستطيع خداع فاهم مهما حاول خداعه,nile,0,male,nile,nile,nile,0
